shot,image_name,radius_norm,mrti_amplitude_norm,avg_angle,pinch_height
7231,7231_MCP2_3,0.477260712582601,0.039888600282018384,2.815341718693922,24.0
7232,7232_MCP1_2,0.20689409550791418,0.06458703761235653,9.816409082861266,24.0
7231,7231_MCP2_4,0.3872215855834698,0.06436132985972819,1.6560931720994576,24.0
7232,7232_MCP1_1,0.2933499627441982,0.09379506198918391,11.213481467372285,24.0
7232,7232_MCP1_3,0.1379810536010937,0.05461107834540471,5.531987879777468,24.0
7232,7232_MCP1_4,0.2190295017007463,0.07181379222545174,5.426151047292803,24.0
7232,7232_MCP2_3,0.47135666365424517,0.03981826870227048,4.278837877735184,24.0
7232,7232_MCP2_4,0.4200791673379871,0.04096679580594495,1.2909248192479092,24.0
7233,7233_MCP1_1,0.40536234627176276,0.06511619933834993,3.264427196016244,24.0
7233,7233_MCP1_2,0.24695476032050032,0.07125743507216849,7.580233671095854,24.0
7233,7233_MCP1_3,0.1388913470661388,0.06017194525181435,2.147283140429521,24.0
7233,7233_MCP1_4,0.19598027218452177,0.06586777754108923,5.6026329155432135,24.0
7233,7233_MCP2_4,0.665327795256275,0.02578208012380448,5.370094950252335,24.0
7234,7234_MCP1_1,0.2790292045454546,0.10941615238942708,2.9720169891346537,24.0
7234,7234_MCP1_2,0.2548689545281508,0.09045939807196642,5.715142224636798,24.0
7234,7234_MCP1_3,0.1643366215155084,0.07169425597504032,2.7115477867349784,24.0
7234,7234_MCP1_4,0.23045401982378855,0.09756102711678559,4.616524274268794,24.0
7234,7234_MCP2_3,0.546374565054883,0.04294103703962785,1.7535106717894182,24.0
7234,7234_MCP2_4,0.4775054045701835,0.036038316081454004,3.6217058707862417,24.0
7242,7242_MCP1_1,0.3760129779847579,0.05487251137758616,10.940433836982606,24.0
7242,7242_MCP1_2,0.2161746132925323,0.062116500891320814,14.397632142660266,24.0
7242,7242_MCP1_3,0.15689582317568665,0.048650890252682794,6.201641919233339,24.0
7242,7242_MCP1_4,0.1835068433132689,0.05954725354031178,3.941708329462052,24.0
7242,7242_MCP2_F4,0.66320279471259,0.018674556051258954,9.796497183219705,24.0
7243,7243_MCP1_1,0.35871991782582024,0.07947833111993712,15.097125641596936,24.0
7243,7243_MCP1_2,0.22270941801826358,0.06512215146998082,11.82555665753856,24.0
7243,7243_MCP1_3,0.15468540686402507,0.05431388891396314,3.62738768599655,24.0
7243,7243_MCP1_4,0.22595764700641355,0.06401312342966232,2.746217838549786,24.0
7243,7243_MCP2_F4,0.5769595639672405,0.023227615039501614,10.745320070949456,24.0
7247,7247_MCP1_1,0.5617533481561523,0.04534235964789696,7.705727796589674,24.0
7247,7247_MCP1_2,0.4797615269629026,0.05482109402065225,5.214762961772923,24.0
7247,7247_MCP1_3,0.30432097513107387,0.049823137149949515,9.438748061167203,24.0
7247,7247_MCP1_4,0.2252402704845831,0.09378776407194055,5.17471145167434,24.0
7248,7248_MCP1_1,0.5253099261080851,0.04156031175204135,3.8387265810256745,24.0
7248,7248_MCP1_2,0.4626293120831671,0.05167045340098982,7.388306852999257,24.0
7248,7248_MCP1_3,0.30056613788074077,0.04004813619522124,7.660596892750373,24.0
7248,7248_MCP1_4,0.26265447769506906,0.12023521795346011,2.7186293885325155,24.0
7249,7249_MCP1_1,0.31268819780751905,0.11129702194740913,7.888224110831621,24.0
7249,7249_MCP1_2,0.21838000934130383,0.09486864449147099,4.737660370396647,24.0
7249,7249_MCP1_3,0.13638063972149367,0.06674251689611375,2.597885767405309,24.0
7249,7249_MCP1_4,0.24527836976136608,0.06960817059376473,7.253916627466189,24.0
7249,7249_MCP2_3,0.5689061532152211,0.042677509906076945,8.240002349875112,24.0
7249,7249_MCP2_4,0.4901705312859926,0.053495595327306834,8.383432301654754,24.0
7250,7250_MCP1_1,0.24348667391876253,0.0726608285902418,4.5117184879293255,24.0
7251,7251_MCP1_1,0.4224015454016938,0.0451342792126484,6.086776501299502,24.0
7251,7251_MCP1_2,0.34217639404885847,0.0381787960407426,8.172056627881654,24.0
7251,7251_MCP1_3,0.23629401696366958,0.04059683412778789,9.199152230582756,24.0
7251,7251_MCP1_4,0.15915585843433872,0.05785034266187412,4.898775741362752,24.0
7251,7251_MCP2_3,0.5786589243838567,0.013285995073206667,6.771003368483175,24.0
7251,7251_MCP2_4,0.5592280360810816,0.015023782686413625,6.490947074367876,24.0
